 2075389 | 16Bm07 Jan 31 01:03:50 17 | 17AP30 Nr0372_1  | 12:00:57.6  31:57:36 2000 | 100 | r | 1.26 | 0.52 0.55   204 |    OG79 |  OB1114 |P 1 V Q R|
 2075390 | 16Bm07 Jan 31 01:06:15 17 | 17AP30 Nr0373_1  | 12:05:31.2  31:57:36 2000 | 100 | r | 1.27 | 0.50 0.53   203 |    OG79 |  OB1117 |P 1 V Q R|
 2075391 | 16Bm07 Jan 31 01:08:41 17 | 17AP30 Nr0374_1  | 12:10:04.8  31:57:36 2000 | 100 | r | 1.28 | 0.55 0.57   201 |    OG79 |  OB1120 |P 1 V Q R|
 2075392 | 16Bm07 Jan 31 01:11:06 17 | 17AP30 Nr0375_1  | 12:14:38.4  31:57:36 2000 | 100 | r | 1.28 | 0.56 0.59   197 |    OG79 |  OB1123 |P 1 V Q R|
 2075393 | 16Bm07 Jan 31 01:13:37 17 | 17AP30 Nr0520_1  | 11:45:48.0  32:56:24 2000 | 100 | r | 1.19 | 0.57 0.60   195 |   OG115 |  OB1558 |P 1 V Q R|
 2075394 | 16Bm07 Jan 31 01:16:09 17 | 17AP30 Nr0521_1  | 11:50:24.0  32:56:24 2000 | 100 | r | 1.19 | 0.59 0.61   193 |   OG115 |  OB1561 |P 1 V Q R|
 2075395 | 16Bm07 Jan 31 01:18:35 17 | 17AP30 Nr0522_1  | 11:55:00.0  32:56:24 2000 | 100 | r | 1.20 | 0.58 0.61   192 |   OG115 |  OB1564 |P 1 V Q R|
 2075396 | 16Bm07 Jan 31 01:21:01 17 | 17AP30 Nr0523_1  | 11:59:36.0  32:56:24 2000 | 100 | r | 1.21 | 0.63 0.65   193 |   OG115 |  OB1567 |P 1 V Q R|
 2075397 | 16Bm07 Jan 31 01:23:26 17 | 17AP30 Nr0524_1  | 12:04:12.0  32:56:24 2000 | 100 | r | 1.21 | 0.55 0.58   191 |   OG115 |  OB1570 |P 1 V Q R|
 2075398 | 16Bm07 Jan 31 01:25:52 17 | 17AP30 Nr0525_1  | 12:08:48.0  32:56:24 2000 | 100 | r | 1.22 | 0.57 0.59   191 |   OG115 |  OB1573 |P 1 V Q R|
 2075399 | 16Bm07 Jan 31 01:28:35 17 | 17AP30 Nr0526_1  | 12:13:24.0  32:56:24 2000 | 100 | r | 1.22 | 0.55 0.58   192 |   OG115 |  OB1576 |P 1 V Q R|
 2075400 | 16Bm07 Jan 31 01:31:02 17 | 17AP30 Nr0672_1  | 11:48:57.6  33:55:12 2000 | 100 | r | 1.16 | 0.57 0.60   189 |   OG151 |  OB2014 |P 1 V Q R|
 2075401 | 16Bm07 Jan 31 01:33:28 17 | 17AP30 Nr0673_1  | 11:53:36.0  33:55:12 2000 | 100 | r | 1.16 | 0.52 0.55   190 |   OG151 |  OB2017 |P 1 V Q R|
 2075402 | 16Bm07 Jan 31 01:35:54 17 | 17AP30 Nr0674_1  | 11:58:14.4  33:55:12 2000 | 100 | r | 1.17 | 0.59 0.62   191 |   OG151 |  OB2020 |P 1 V Q R|
 2075403 | 16Bm07 Jan 31 01:38:19 17 | 17AP30 Nr0675_1  | 12:02:52.8  33:55:12 2000 | 100 | r | 1.17 | 0.59 0.62   192 |   OG151 |  OB2023 |P 1 V Q R|
 2075404 | 16Bm07 Jan 31 01:40:44 17 | 17AP30 Nr0676_1  | 12:07:31.2  33:55:12 2000 | 100 | r | 1.18 | 0.55 0.58   191 |   OG151 |  OB2026 |P 1 V Q R|
 2075405 | 16Bm07 Jan 31 01:43:09 17 | 17AP30 Nr0677_1  | 12:12:09.6  33:55:12 2000 | 100 | r | 1.18 | 0.58 0.60   191 |   OG151 |  OB2029 |P 1 V Q R|
 2075406 | 16Bm07 Jan 31 01:45:34 17 | 17AP30 Nr0678_1  | 12:16:48.0  33:55:12 2000 | 100 | r | 1.19 | 0.63 0.65   190 |   OG151 |  OB2032 |P 1 V Q R|
